Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Morias,Dagenham & Redbridge,"CF, RW, AMF",27,150000,2023-06-30,12,912,6,2.76,3,1.84,16.38,38.55,Jamaica,"Jamaica, England",right,173,68,no,1.68,2.37,50,1.38,21.43,0,0,0,0.49,0.68,0.99,1,0.1,0,0,4.44,0.59,6,0.59,0.27,1,0.1,20,1.97,45,30,0.3,1.88,42.11,0.69,42.86,1.18,41.67,0.59,3.85,69.23,10.07,40.2,3.36,2.37,0.79,14.61,2.07,0.99,22.2,81.33,4.44,62.22,7.01,91.55,6.71,83.82,19.64,86.43,0.69,42.86,16.52,10.94,0.18,1.38,0,0,0.1,100,0.59,2.27,69.57,1.97,60,0.1,0,1.18,1.09,2.57,69.23,0,,0,,0,0,0,0,,,0.79,,,0,0,0,0.1,0,0
A. Marsh,Scunthorpe United,"CF, LAMF",19,100000,2023-06-30,3,190,0,0.05,0,0.17,23.68,44,England,England,,172,60,yes,6.63,4.74,70,3.79,25,0.47,0.73,0,2.84,4.39,1.42,0,0,0,0,2.84,0,0,0,0.02,0,0,2,0.95,0,0,0,2.37,20,1.89,25,0.47,0,0.47,3.79,62.5,11.84,48,1.89,2.37,1.42,9.95,0.47,1.42,20.84,81.82,5.68,83.33,5.68,100,5.21,81.82,17.53,89.19,1.42,66.67,17.66,27.55,0.08,0.47,0,0,0,0,0.47,1.89,75,0.95,100,0,0,0.95,0.47,3.32,85.71,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
S. Nelson,Woking,CF,26,100000,2023-06-30,1,2,0,0,0,0,,,England,England,right,185,75,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
H. Ghandour,Maidstone United,"LAMF, CF, RWB",22,100000,2023-06-30,4,111,0,0.2,0,0.03,29.19,30.56,England,"England, Lebanon",right,189,0,no,5.68,8.11,40,8.11,10,0,0,0,2.43,4.09,2.43,1,0.81,1,0.81,0.81,0,0,0,0.16,0,0,1,0.81,100,0,0,0,0,0,0,0,0,0,0,0,8.11,30,2.43,0,0.81,3.24,0.81,1.62,12.16,73.33,4.05,80,0.81,100,4.05,60,11.35,71.43,0.81,100,15.91,5.58,0.02,0.81,0,0,0,0,0,0.81,100,0.81,0,0,0,0,0,2.43,33.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
R. Browne,Wealdstone,CF,26,50000,2023-06-30,13,1092,7,4.51,0,0.61,24.48,33.33,England,"England, Antigua and Barbuda",right,175,75,no,2.31,2.23,62.96,4.53,16.36,0.08,0.12,0,0.82,1.23,0.66,3,0.25,0,0,3.3,0.58,6,0.49,0.37,0,0,28,2.31,42.86,25,0,0.41,40,0.08,0,0.33,50,0,4.53,45.45,13.1,37.11,2.72,1.32,0.74,11.46,1.9,1.81,17.06,80.19,3.79,60.87,6.1,89.19,4.37,83.02,15.74,81.68,0.99,75,15.21,17.98,0.05,0.74,0.08,0,0.25,33.33,0.33,1.65,65,1.15,64.29,0.25,66.67,0.99,0,1.32,75,0,,0,,0,0,0,0,,,0.16,,,0,0,0,0,1,100
G. Alexander,Bromley,"CF, RWF",21,50000,2023-06-30,6,392,1,3.01,0,1.22,27.55,27.5,England,England,,0,0,no,4.59,4.13,72.22,5.74,12,0.23,0.34,0.23,1.38,2.05,2.07,0,0,0,0,3.44,0.23,1,0.23,0.69,0,0,12,2.76,41.67,8.333,0,1.15,40,0.23,0,0.92,50,0.23,3.44,53.33,11.02,27.08,4.36,1.84,1.15,8.72,1.15,1.38,11.71,74.51,2.07,66.67,3.9,76.47,2.98,76.92,9.64,80.95,0.92,50,15.53,22.49,0.28,0.92,0,0,0,0,0.69,0.46,50,1.38,16.67,0.23,0,0.69,0.46,0.92,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Ebanks,Eastleigh,CF,20,50000,,7,198,1,0.6,0,0.03,34.09,32,England,England,,0,0,yes,4.55,3.18,85.71,12.27,33.33,0,0,0,1.82,3.16,2.27,2,0.91,0,0,1.82,0.45,1,0.45,0.27,1,0.45,5,2.27,60,20,0,0,0,0,0,0,0,0,0.91,50,10.91,12.5,4.09,0.45,0,5,2.73,0,9.09,70,2.27,60,1.82,50,1.82,75,9.09,70,0,0,11.69,0,0.01,0.45,0,0,0,0,0,0.91,100,0.45,100,0,0,0.91,0,1.36,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Linton,Yeovil Town,"CF, RWF",21,50000,2024-06-30,13,1008,2,1.77,2,0.44,24.55,30.55,England,England,,0,0,no,3.84,4.82,61.11,5.54,12.9,0.09,0.11,0.36,0.8,1.01,1.16,1,0.09,0,0,1.61,0.18,2,0.18,0.16,0,0,18,1.61,22.22,11.111,0.18,0.36,25,0.18,50,0.18,0,0.09,2.05,52.17,10.45,30.77,1.96,0.71,0.18,5.54,0.98,1.07,10.18,79.82,2.32,65.38,2.77,93.55,3.21,83.33,9.2,85.44,0.63,28.57,14.76,18.58,0.04,0.63,0,0,0.18,50,0.36,0.89,80,0.8,55.56,0.27,33.33,0.45,0.18,0.8,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,0
A. Cosgrave,Southend United,CF,23,0,,4,216,0,0.14,0,0.23,28.75,21.74,England,England,right,185,74,yes,1.67,2.5,33.33,6.67,12.5,0,0,0,0.83,1.58,1.67,1,0.42,0,0,2.92,0,0,0,0.06,0,0,3,1.25,0,0,0,0.83,0,0,0,0.42,0,0,3.33,75,12.92,29.03,2.08,0,0,6.67,2.08,0.42,14.17,82.35,2.5,83.33,4.17,90,3.33,75,13.33,87.5,0,0,18.77,0,0.1,1.25,0,0,0.42,100,0.42,0.42,100,1.25,100,0.42,100,1.67,0,1.67,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
O. Koszela,Torquay United,CF,20,0,2022-12-31,1,63,0,0.02,0,0,21.43,13.33,Poland,Poland,,176,77,no,2.86,4.29,33.33,4.29,33.33,0,0,1.43,1.43,2.5,1.43,0,0,0,0,1.43,0,0,0,0.03,0,0,1,1.43,0,0,0,1.43,0,0,0,1.43,0,0,0,0,8.57,0,0,0,0,2.86,0,0,12.86,55.56,4.29,33.33,5.71,100,1.43,0,11.43,62.5,0,0,23.27,0,0,0,0,0,1.43,100,0,2.86,0,0,0,1.43,100,0,0,1.43,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
N. Wallace,Scunthorpe United,"CF, LAMF, LW",17,0,,2,101,0,0.6,0,0.51,31.19,57.14,England,England,,0,0,no,8.91,7.13,100,3.56,50,0.89,1.88,0,0.89,1.88,0,0,0,0,0,10.69,0,0,0,0.53,0,0,3,2.67,100,0,0,2.67,66.67,2.67,66.67,0,0,0,12.48,50,16.04,38.89,4.46,2.67,0,16.93,2.67,3.56,19.6,68.18,3.56,50,4.46,100,8.02,55.56,16.93,68.42,0.89,0,15.73,26.65,0.45,2.67,0,0,0,0,2.67,2.67,66.67,1.78,100,0,0,0.89,1.78,5.35,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Grivosti,Yeovil Town,"RW, CF",19,0,,2,34,0,0,0,0,,,England,England,unknown,187,72,yes,,,,,,,0,,,8.57,,1,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.24,23.47,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
T. Hughes,Torquay United,"CF, LW, RCMF",21,0,,2,107,0,0,0,0,15.14,38.89,England,England,,0,0,no,5.05,5.05,66.67,3.36,50,0,0,0,1.68,2.31,0.84,1,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,33.33,1.68,0,0,10.93,0.84,0.84,18.5,59.09,8.41,50,1.68,50,3.36,100,15.14,72.22,3.36,0,17.59,10.82,0,0,0,0,0,0,0,2.52,33.33,0,0,0,0,0,0,5.05,33.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Z. Goodson,Altrincham,CF,22,0,,1,30,0,0,0,0,,,England,England,unknown,0,0,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.08,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
J. Wood,Southend United,CF,30,0,,1,3,0,0,0,0,,,England,England,unknown,0,0,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,6.29,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
W. Harris,Gateshead,"CF, RAMF, RWF",21,0,,10,461,0,0.59,0,0.12,23.59,20.39,England,England,,187,0,no,4.12,2.98,61.54,8.02,22.86,0.23,0.37,0,2.06,3.33,1.15,1,0.2,0,0,0.46,0,0,0,0.14,0,0,9,2.06,11.11,0,0,1.15,0,0.46,0,0.23,0,0.69,2.06,0,9.16,10,2.52,0.46,0,10.08,2.52,0.23,14.43,69.84,3.21,42.86,3.44,100,3.44,60,13.28,75.86,0,0,15.58,0,0.03,0.46,0,0,0.23,100,0,2.06,44.44,1.15,40,0.23,100,0.46,0,0.69,66.67,0,,0,,0,0,0,0,,,0.23,,,0,0,0,0,0,0
G. Touré,Yeovil Town,"CF, LWF",28,0,,9,513,2,1.57,0,0.28,29.65,43.2,France,"France, Mali",right,190,85,no,4.39,5.09,48.28,5.79,39.39,0.18,0.26,0,1.75,2.61,2.46,0,0,1,0.18,5.26,0.35,2,0.35,0.28,0,0,15,2.63,33.33,13.333,0,1.93,27.27,1.4,25,0.53,33.33,0.53,6.84,53.85,14.21,44.44,2.81,2.28,1.05,12.46,1.23,1.93,20.35,74.14,4.39,76,5.44,87.1,5.44,64.52,18.25,78.85,0.18,100,14.73,5.61,0.05,1.05,0,0,0.53,33.33,0.18,2.46,64.29,1.93,36.36,0.53,33.33,0.7,0.53,1.93,81.82,0,,0,,0,0,0,0,,,0,,,0.18,0.18,0,0,0,0
M. Carver,Scunthorpe United,CF,28,0,2023-06-30,7,328,0,1.08,0,0.08,37.04,30.37,England,England,right,180,75,no,4.12,5.49,45,16.74,34.43,0,0,0,1.65,3.33,3.84,0,0,0,0,1.65,0,0,0,0.3,0,0,4,1.1,50,0,0,0.55,0,0.55,0,0,0,0,1.92,57.14,6.59,20.83,1.92,0.55,0.27,3.02,1.65,0.27,9.05,60.61,2.2,25,3.02,100,1.65,50,8.51,64.52,0,0,15.35,0,0.02,0.55,0.27,0,0,0,0,0.27,100,1.1,25,0,0,0.27,0,0.82,0,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Mongoy,Wealdstone,CF,23,0,2023-06-30,1,14,0,0,0,0,,,England,England,,0,0,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.62,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
E. Mason-Clark,Peterborough United,"RAMF, RW, CF",23,0,2025-06-30,4,377,2,0.49,2,0.8,23.87,41,England,England,right,178,71,no,5.25,5.01,71.43,2.86,16.67,0,0,0,1.67,2.8,2.15,0,0,0,0,4.3,0.48,2,0.48,0.12,1,0.24,7,1.67,42.86,28.571,0.48,1.91,25,0.48,0,1.43,33.33,0.48,5.73,54.17,11.46,37.5,3.1,1.43,0.48,7.4,1.91,1.43,12.41,67.31,2.15,33.33,2.86,83.33,3.1,76.92,10.27,74.42,0.24,100,13.2,11.6,0.19,0.95,0,0,0.24,0,0.95,1.19,20,1.67,42.86,0.24,0,0.72,0.95,2.15,44.44,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Andrews,Torquay United,CF,25,0,2023-06-30,7,558,0,2.25,2,0.41,23.87,29.05,England,England,,0,0,no,3.39,2.58,75,5.97,16.22,0,0,0,1.45,2.16,0.65,1,0.16,0,0,1.77,0,0,0,0.36,0,0,15,2.42,33.33,0,0.32,0.81,0,0.32,0,0.48,0,0,1.77,54.55,8.55,28.3,3.87,0.48,0.32,5.16,1.45,1.29,8.71,64.81,1.77,54.55,1.77,81.82,2.58,62.5,7.74,72.92,0.16,0,14.4,5.03,0.07,0.48,0,0,0,0,0.32,0.48,100,0.97,16.67,0.16,0,0.32,0,0.65,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
S. Boden,York City,CF,32,0,2024-06-30,4,182,0,0.08,0,0,23.24,27.66,England,England,right,180,70,no,3.46,2.47,80,8.41,29.41,0,0,0,1.48,2.57,0,0,0,0,0,1.48,0,0,0,0.04,0,0,1,0.49,100,0,0,0.49,100,0,0,0.49,100,0,0.49,100,3.46,14.29,0.99,0,0,4.95,0.99,0,9.4,47.37,2.47,40,1.98,50,2.97,50,8.41,47.06,0.49,0,18.29,11.41,0,0,0,0,0.49,0,0,0.99,50,0.49,0,0.49,0,0,0.49,1.98,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Arnold,Maidstone United,CF,,0,,1,13,0,0.04,0,0,,,England,England,unknown,0,0,no,,,,,,,0,,,30,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,56.62,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
B. Harrison,Altrincham,CF,35,0,2023-06-30,1,14,0,0,0,0,,,England,England,right,191,84,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.56,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
A. Cappello,Halifax Town,"CF, AMF, RW",20,0,,6,435,0,0.67,0,1.19,37.03,41.9,Belize,Belize,unknown,0,0,no,8.9,6.62,62.5,4.76,17.39,1.03,1.47,0,3.72,5.29,1.45,0,0,0,0,5.59,0,0,0,0.14,0,0,7,1.45,0,0,0,2.28,36.36,1.66,37.5,0.62,33.33,0.21,7.03,67.65,20.9,42.57,1.86,1.86,0.62,14.9,1.66,2.69,25.24,75.41,7.86,65.79,5.38,88.46,6.41,67.74,22.97,79.28,0.41,0,14.39,19.92,0.25,0.83,0,0.21,0,0,0.41,1.86,66.67,2.07,40,0,0,0,0.83,2.48,91.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0.21,0,0
M. Gyasi,Chesterfield,"CF, LCMF",22,0,2023-06-30,4,114,0,0.8,0,0.22,25.26,28.13,Ghana,Ghana,,0,0,no,4.74,4.74,83.33,3.16,0,0,0,0,0.79,1.36,2.37,0,0,0,0,2.37,0,0,0,0.63,0,0,3,2.37,0,0,0,0,0,0,0,0,0,0,6.32,37.5,8.68,27.27,3.95,1.58,0.79,7.89,3.16,0.79,6.32,87.5,0.79,100,2.37,100,0.79,0,6.32,87.5,0,0,11.32,0,0.17,1.58,0,0,0,0,0,0.79,100,0,0,0,0,0.79,0,0.79,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Slew,Halifax Town,"LAMF, LW, CF",30,0,2023-06-30,11,545,2,1.86,0,0.57,27.74,45.83,England,England,right,178,81,no,2.81,4.13,44,4.62,53.57,0,0,0,0.99,1.51,0.66,1,0.17,0,0,6.11,0.33,2,0.33,0.31,0,0,18,2.97,44.44,11.111,0,1.65,20,1.65,20,0,0,0.17,5.94,66.67,15.52,46.81,3.47,2.31,0.66,23.45,2.15,1.65,34.35,81.25,7.76,59.57,11.06,97.01,7.76,80.85,30.55,87.57,2.48,33.33,15.07,20.22,0.09,1.16,0,0,1.32,37.5,0.33,2.64,56.25,2.31,50,0.66,25,1.32,0.33,4.13,80,0,,0,,0,0,0,0,,,0,,,0.17,0.17,0,0,0,0
R. Harker,Halifax Town,CF,22,0,2023-06-30,11,362,1,1.07,0,0,24.36,35.71,England,England,right,188,78,no,3.23,3.73,53.33,6.46,46.15,0.25,0.39,0,0.99,1.58,1.24,0,0,0,0,1.24,0.25,1,0.25,0.27,0,0,8,1.99,50,12.5,0,0.5,0,0.25,0,0.25,0,0,0.75,33.33,7.71,29.03,2.73,0.75,0.75,8.2,2.24,0.25,13.18,71.7,2.73,36.36,4.23,94.12,2.49,70,12.68,74.51,0,0,13.63,0,0,0,0,0,0,0,0,0.25,0,0.99,0,0,0,0,0,0.25,0,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
D. Newton,Boreham Wood,CF,31,0,2023-06-30,10,503,1,1.48,1,0.42,33.82,37.04,England,England,left,178,75,no,5.55,4.29,58.33,15.75,39.77,0.18,0.26,0.54,2.86,4.14,1.79,1,0.18,0,0,3.04,0.18,1,0.18,0.26,0,0,12,2.15,50,8.333,0.18,1.43,25,1.25,14.29,0.18,100,0.18,3.4,47.37,8.77,32.65,2.86,1.61,1.07,8.77,3.04,0,18.25,58.82,6.8,42.11,2.5,85.71,5.01,64.29,15.92,62.92,0.89,40,17.14,14.56,0.08,0.72,0.36,0,0.36,0,0.36,2.86,37.5,2.33,38.46,0.54,0,0.72,0.54,2.68,73.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
T. Marsh,Boreham Wood,CF,28,0,2024-06-30,12,918,5,6.91,0,0.38,30.1,32.57,England,England,right,180,80,no,3.73,4.02,53.66,4.31,31.82,0,0,0.1,1.57,2.24,1.76,2,0.2,0,0,3.92,0.49,4,0.39,0.68,0,0,31,3.04,48.39,16.129,0,2.06,9.52,0.59,0,1.47,13.33,0.29,3.63,62.16,13.43,30.66,4.02,0.88,0.1,11.08,1.47,1.08,17.25,62.5,3.82,53.85,4.12,83.33,5.29,51.85,14.12,73.61,1.27,15.38,17.72,24.64,0.04,0.49,0.1,0,0.1,0,0.1,1.86,36.84,2.16,27.27,0.49,20,0.78,0.29,2.06,57.14,0,,0,,0,0,0,0,,,0,,,0.1,0.1,100,0,3,33.333
J. Rees,Boreham Wood,"AMF, RWB, CF",29,0,2023-06-30,13,1027,2,2.64,0,0.44,22.26,37.4,England,England,right,175,70,no,5.08,5.35,59.02,6.05,28.99,0.18,0.25,0.18,1.75,2.51,1.14,1,0.09,0,0,1.31,0.18,2,0.18,0.23,0,0,14,1.23,57.14,14.286,0,0.7,25,0.18,0,0.44,40,0.09,1.23,28.57,6.31,23.61,2.54,0.18,0.35,7.97,0.96,0.53,16.65,69.47,5.52,60.32,2.89,84.85,5.35,65.57,14.02,75,2.02,47.83,18.84,37.27,0.04,0.53,0,0.09,0.35,25,0,2.45,57.14,1.23,35.71,0.35,25,0.35,0.09,2.63,63.33,0,,0,,0,0,0,0,,,0,,,0.26,0,0,0.35,0,0
L. Ndlovu,Boreham Wood,"CF, RWF",27,0,2024-06-30,10,776,5,3.66,1,1.22,41.17,34.08,England,England,,0,0,no,3.83,3.94,55.88,10.67,30.43,0.58,0.88,0.12,1.04,1.59,1.39,1,0.12,1,0.12,4.76,0.58,5,0.58,0.42,1,0.12,22,2.55,40.91,22.727,0.12,1.62,28.57,0.23,50,1.39,25,0,6.84,47.46,18.67,32.92,4.64,1.97,0.35,7.07,2.2,1.39,15.43,77.44,2.9,76,3.48,90,3.71,81.25,13.69,83.9,0.12,0,15.91,4.62,0.14,1.04,0,0.12,0.12,0,0.23,1.16,80,1.62,57.14,0.23,0,0.7,0.35,1.04,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
D. Elliott,Boreham Wood,CF,27,0,,10,398,1,2.11,0,0.5,29.17,31.01,England,England,left,191,77,no,2.26,3.17,50,8.37,32.43,0,0,0,0.68,0.95,0.68,0,0,0,0,2.49,0.23,1,0.23,0.48,0,0,12,2.71,16.67,8.333,0,1.36,33.33,0.45,0,0.9,50,0.23,3.84,41.18,12.21,31.48,3.62,0.9,0.23,10.18,2.94,0.9,16.28,61.11,4.3,42.11,2.71,91.67,5.2,52.17,14.25,65.08,0.68,33.33,16.97,4.92,0.11,0.68,0,0,0.23,0,0.45,1.58,57.14,0.9,25,0.45,0,0,0.45,1.58,71.43,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
T. Allan,Spennymoor Town,"RWF, RW, CF",23,0,2024-06-30,7,325,1,0.51,0,0.48,28.03,43.33,England,England,right,173,66,yes,5.92,7.16,56.52,4.98,31.25,0,0,0,1.87,3.21,2.49,2,0.55,0,0,5.61,0.28,1,0.31,0.16,0,0,5,1.56,60,20,0,4.05,23.08,0.62,0,3.11,30,0.93,4.98,62.5,11.83,42.11,4.05,1.25,0.31,16.51,1.56,3.43,23.98,71.43,4.67,46.67,9.03,89.66,4.98,56.25,19,81.97,1.87,50,17.77,28.47,0.15,1.25,0,0,0.93,66.67,0.93,0.93,66.67,3.74,41.67,0.31,0,1.25,0.62,2.18,85.71,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
