Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Barham,Maidstone United,CF,26,0,2023-06-30,12,943,3,5.55,0,0.53,28.44,26.17,England,England,right,177,71,no,3.15,2.77,62.07,13.65,18.18,0,0,0.1,1.43,2.23,0.76,0,0,0,0,2.39,0.29,3,0.29,0.53,1,0.1,23,2.2,56.52,13.043,0,0.95,30,0.1,100,0.76,12.5,0,1.34,64.29,7.06,29.73,2.67,0.76,0.19,9.26,3.24,1.53,12.03,57.94,2.67,32.14,3.34,82.86,3.24,52.94,10.78,61.95,0.29,0,15.74,12.05,0.05,0.38,0,0,0,0,0.19,1.24,23.08,0.67,28.57,0,0,0.1,0.29,0.67,71.43,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,0
C. Pattison,Maidstone United,"RAMF, RW, CF",25,0,2023-06-30,13,985,1,1.57,3,2.06,25.58,38.21,England,England,,0,0,no,5.39,3.11,82.35,6.76,25.68,0.09,0.15,0.09,2.74,4.37,0.18,0,0,0,0,4.93,0.09,1,0.09,0.14,1,0.09,14,1.28,42.86,7.143,0.27,4.02,22.73,0,0,4.02,22.73,0.73,5.39,64.41,12.7,38.85,3.29,1.37,0.73,9.96,2.01,0.73,18.55,61.08,5.21,54.39,4.2,93.48,4.75,50,13.34,75.34,1.28,35.71,15.65,15.14,0.19,0.64,0,0,0,0,0.37,1.37,26.67,2.19,29.17,0.09,0,0.55,0.91,2.01,72.73,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0.18,0,0
A. Asante,Chesterfield,"CF, AMF",30,0,,9,566,4,2.28,1,0.22,21.31,32.84,Netherlands,Netherlands,right,183,83,no,2.7,2.39,33.33,5.09,40.63,0.16,0.26,0,1.75,2.89,0.8,0,0,0,0,2.86,0.64,4,0.64,0.36,1,0.16,14,2.23,42.86,28.571,0.16,0.8,0,0.32,0,0.32,0,0,3.02,57.89,10.81,30.88,4.77,1.11,0,10.81,1.75,0.32,19.08,74.17,5.88,62.16,5.41,88.24,3.66,73.91,18.13,78.07,0.16,0,14.96,3.78,0.04,0.48,0,0,0.32,50,0.16,2.54,75,1.59,50,0.16,0,0.95,0,2.7,70.59,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. Tshimanga,Chesterfield,CF,25,0,2024-06-30,8,383,3,0.58,0,0.14,14.1,26.67,Congo DR,"Congo DR, England",right,180,78,no,1.41,1.64,57.14,3.05,38.46,0,0,0,0.47,0.95,0.7,0,0,0,0,2.11,0.7,3,0.7,0.14,1,0.23,7,1.64,85.71,42.857,0,0.7,33.33,0,0,0.7,33.33,0,0.47,100,4.23,22.22,2.82,0.23,0.23,7.28,2.11,0.47,10.1,79.07,1.88,75,3.76,81.25,1.17,80,9.4,82.5,0,0,11.98,0,0.03,0.47,0,0,0.23,0,0,0,0,0.47,50,0.23,0,0.7,0.23,0.7,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Quigley,Chesterfield,CF,25,0,2024-06-30,13,1116,2,5.33,3,1.03,31.77,39.34,England,"England, Republic of Ireland",right,193,83,no,1.94,1.85,47.83,8.71,50.93,0,0,0,1.05,1.69,1.05,0,0,0,0,3.71,0.16,2,0.16,0.43,0,0,38,3.06,44.74,5.263,0.24,0.65,50,0.16,50,0.48,50,0.08,4.19,48.08,12.34,30.72,4.27,1.13,0.08,5.89,2.26,1.05,12.74,78.48,2.82,77.14,2.66,84.85,3.87,81.25,11.77,79.45,0.4,100,14.29,13.97,0.08,0.97,0,0,0,0,0.32,1.13,57.14,1.13,71.43,0,0,1.05,0.24,1.45,94.44,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Scrimshaw,Yeovil Town,"CF, AMF",22,0,2024-06-30,4,86,0,0.1,0,0,29.3,25,England,England,,0,0,no,6.28,10.47,50,7.33,0,0,0,0,1.05,1.67,2.09,1,1.05,0,0,1.05,0,0,0,0.11,0,0,1,1.05,100,0,0,0,0,0,0,0,0,0,1.05,0,4.19,0,3.14,2.09,0,4.19,0,0,7.33,100,3.14,100,3.14,100,0,0,7.33,100,0,0,9.69,0,0,0,0,0,0,0,0,1.05,100,0,0,0,0,1.05,0,2.09,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
W. Dawes,Yeovil Town,"LW, CF",22,0,,1,58,0,0,0,0,32.59,42.86,England,England,,0,0,no,10.86,12.41,50,3.1,50,1.55,1.36,0,3.1,2.73,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,1.55,0,1.55,0,1.55,0,0,9.31,33.33,0,3.1,1.55,13.97,3.1,1.55,18.62,25,6.21,0,0,0,6.21,50,12.41,25,3.1,50,22.09,49.83,0,0,0,0,0,0,0,4.66,33.33,3.1,0,0,0,0,0,4.66,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Wakefield,Yeovil Town,"RWB, CF, RAMF",24,0,2023-06-30,12,956,0,0.74,0,0.55,16.19,43.6,England,England,right,184,72,no,4.14,3.39,63.89,2.64,46.43,0.38,0.5,0,1.6,2.11,0.66,2,0.19,0,0,3.29,0,0,0,0.07,0,0,13,1.22,30.77,0,0,2.54,37.04,0.38,50,2.17,34.78,0.47,3.95,50,8.47,38.89,1.79,1.41,0.56,12.62,1.88,0.66,19.3,70.24,4.71,46,5.08,96.3,5.65,76.67,15.25,79.01,1.79,36.84,21.52,45.22,0.05,0.75,0,0,0.09,0,0.38,2.07,45.45,1.88,50,0.19,0,0.28,1.04,3.11,60.61,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0,0,0
A. Dallas,Solihull Moors,"LAMF, CF, LW",23,0,2023-06-30,13,1160,7,5.69,7,2.8,25.37,30.89,Scotland,Scotland,right,178,79,no,4.66,4.19,53.7,4.27,14.55,0.16,0.25,0.16,2.25,3.63,1.32,2,0.16,0,0,3.41,0.54,5,0.39,0.44,1,0.08,29,2.25,62.07,24.138,0.54,1.24,37.5,0.47,33.33,0.78,40,0.23,2.95,50,12.72,29.88,5.59,1.47,0.78,16.37,1.09,1.71,22.03,77.82,3.18,56.1,6.75,94.25,6.75,71.26,19.78,81.96,1.01,46.15,15.63,15.6,0.22,0.85,0,0.08,0.31,25,0.78,1.01,69.23,1.32,47.06,0.08,0,0.93,0.23,1.86,58.33,0,,0,,0,0,0,0,,,0.16,,,0,0,0,0,2,100
J. Kelly,Solihull Moors,CF,23,0,2025-06-30,13,917,3,2.59,2,0.74,21.3,37.33,England,England,right,181,78,no,5.5,4.12,59.52,2.16,18.18,0.59,0.94,0,2.45,3.93,1.47,0,0,0,0,3.44,0.29,3,0.29,0.25,0,0,21,2.06,47.62,14.286,0.2,1.57,37.5,0.29,0,1.18,41.67,0,4.32,40.91,10.31,35.24,3.93,1.86,0.29,11.48,0.98,1.18,16.98,75.14,3.83,53.85,4.91,94,4.51,65.22,14.72,80,0.88,44.44,16.65,19.77,0.07,1.08,0.1,0.1,0.1,100,0.39,2.16,54.55,1.18,50,0.2,50,1.28,0.49,1.77,72.22,0,,0,,0,0,0,0,,,0,,,0.39,0.39,75,0,0,0
A. Reid,Solihull Moors,CF,27,0,2023-06-30,11,498,6,3.7,1,0.48,26.2,23.45,England,England,left,192,76,no,1.63,3.61,40,6.69,18.92,0,0,0,0.18,0.3,1.08,1,0.18,0,0,2.71,1.08,6,1.08,0.67,1,0.18,19,3.43,42.11,31.579,0.18,1.08,16.67,0.36,0,0.72,25,0,2.17,50,9.4,25,5.6,0.36,0.54,9.94,1.99,0.9,13.92,71.43,3.07,58.82,4.16,91.3,3.98,81.82,12.65,75.71,0.18,100,16.44,3.64,0.09,0.72,0,0,0,0,0.36,0.72,75,1.08,66.67,0,0,1.27,0.18,0.9,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Rutherford,Dorking Wanderers,CF,24,0,2024-06-30,7,547,2,0.67,0,0.35,23.86,29.66,England,England,,0,0,no,2.8,2.63,50,7.24,45.45,0.16,0.3,0.33,1.32,2.4,0.66,0,0,0,0,1.65,0.33,2,0.33,0.11,1,0.16,5,0.82,60,40,0,0.66,75,0.33,100,0.33,50,0.16,2.47,26.67,10.37,17.46,2.63,0.82,0.82,9.21,2.96,0.66,13.82,72.62,2.96,44.44,3.62,90.91,3.62,72.73,12.5,72.37,0.66,75,17.28,10.58,0.06,0.49,0,0,0,0,0.16,1.65,40,1.15,71.43,0,0,0.49,0.49,1.97,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
R. Korboa,Woking,"LW, RW, CF",26,0,2024-06-30,7,218,0,0.2,0,0.04,32.61,43.04,England,England,,0,0,no,5.37,6.19,46.67,6.61,37.5,0.41,0.71,0,2.06,3.57,0.83,0,0,0,0,4.95,0,0,0,0.08,0,0,6,2.48,16.67,0,0,3.3,37.5,2.48,50,0.83,0,0.41,6.19,53.33,14.45,42.86,4.54,2.89,1.65,17.34,1.24,1.65,26.83,64.62,10.32,56,4.54,90.91,4.95,50,19.4,76.6,4.54,27.27,18.12,20.59,0.02,0.83,0,0.41,0.41,0,0,2.06,40,2.89,71.43,0.41,0,0,1.65,4.54,72.73,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
P. Amond,Woking,"CF, AMF",34,0,2024-06-30,13,1207,0,3.92,4,2.4,23.71,32.39,Republic of Ireland,Republic of Ireland,right,180,75,no,3.5,3.95,69.81,9.77,27.48,0.07,0.11,0,0.67,1.02,0.45,1,0.07,0,0,2.09,0,0,0,0.29,0,0,27,2.01,33.33,0,0.3,2.09,39.29,0.75,40,1.27,35.29,0.45,0.97,38.46,5.37,23.61,4.1,0.52,0.15,11.04,3.13,0.3,19.83,59.02,5.14,37.68,5.44,78.08,5,62.69,16.26,64.68,1.49,25,16.36,30.4,0.18,1.19,0.07,0,0.22,100,0.75,1.94,42.31,2.24,50,0.22,100,1.04,0.82,2.46,69.7,0,,0,,0,0,0,0,,,0,,,0,0,0,0.22,0,0
K. Mitchell,Notts County,"CF, AMF",24,0,2023-06-30,10,267,2,1.51,0,0.35,32.02,36.84,England,"England, Grenada",right,186,0,no,3.71,3.37,60,12.81,42.11,0,0,0,1.69,3.49,2.02,1,0.34,0,0,2.02,0.67,2,0.67,0.51,0,0,13,4.38,30.77,15.385,0,0,0,0,0,0,0,0,1.35,50,9.1,29.63,3.71,0.67,0.34,8.43,1.35,2.36,9.44,78.57,2.02,83.33,3.37,90,2.7,50,9.1,81.48,0.34,0,12.07,3.67,0.12,1.35,0,0,0,0,0.67,0.67,50,1.01,66.67,0,0,1.01,0,0.67,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
H. Panayiotou,Aldershot Town,"CF, LWF",27,0,2023-06-30,8,362,0,0.1,0,0.02,16.66,26.87,England,"England, St. Kitts and Nevis",right,178,72,no,2.98,2.24,44.44,3.48,28.57,0.5,0.55,0,1.49,1.64,1.74,1,0.25,0,0,0.25,0,0,0,0.03,0,0,1,0.25,0,0,0,0.5,0,0.5,0,0,0,0,0.5,50,6.22,20,0.99,0.75,0.25,8.45,0.5,0.75,14.17,68.42,2.73,54.55,5.47,77.27,3.98,68.75,13.18,71.7,0.5,50,12.36,5.57,0,0.25,0,0,0,0,0,1.24,80,0.99,0,0.25,0,0,0,1.24,40,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Lavery,Scunthorpe United,"CF, LW",29,0,2023-01-01,4,348,1,1.11,2,0.58,26.38,29.41,Canada,"Canada, Northern Ireland",right,180,76,no,3.62,3.88,40,8.02,35.48,0.26,0.32,0,1.81,2.26,1.29,1,0.26,0,0,2.07,0.26,1,0.26,0.29,0,0,12,3.1,8.33,8.333,0.52,1.81,28.57,1.29,40,0.52,0,0.26,4.14,31.25,10.86,26.19,3.88,0.26,0.26,13.97,2.33,0.78,21.72,66.67,4.66,61.11,3.62,78.57,7.76,66.67,19.66,69.74,0.26,100,15.06,4.94,0.15,1.03,0,0,0.26,0,0.78,1.81,57.14,2.59,50,0.26,0,0.52,0.52,2.07,87.5,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Luamba,Oldham Athletic,CF,19,0,2023-06-30,11,299,0,0.16,0,0.2,27.09,30,England,England,,0,0,no,3.01,3.01,60,8.43,17.86,0,0,0,1.2,2.07,2.11,1,0.3,0,0,1.81,0,0,0,0.05,0,0,4,1.2,0,0,0,0.3,0,0,0,0.3,0,0,2.71,66.67,9.63,25,2.11,0.9,0.6,10.23,3.61,0.9,14.45,75,2.11,85.71,2.71,88.89,6.62,63.64,14.15,76.6,0,0,12.89,0,0.06,0.3,0,0,0,0,0.3,1.81,50,0.3,100,0,0,0.3,0,1.51,40,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Rooney,Oldham Athletic,"CF, LW, LCMF",31,0,2024-06-30,3,270,0,0.15,0,0.08,13.67,43.9,England,"England, Republic of Ireland",right,180,77,no,6.33,5.33,50,1.33,25,1,1.38,0.33,2.67,3.69,1,0,0,0,0,1.33,0,0,0,0.05,0,0,5,1.67,20,0,0,0.67,0,0.67,0,0,0,0.33,2,50,4.33,30.77,1,0.67,0,23.67,0.67,0.33,32,72.92,13,53.85,4.67,100,10,80,26.67,80,4.67,42.86,22.16,48.27,0.03,0.67,0,0,1,0,0,9.67,41.38,1.33,25,1,0,0.67,0,3.67,90.91,0,,0,,0,0,0,0,,,0.33,,,0.33,0.33,100,0,0,0
J. Nuttall,Scunthorpe United,CF,25,0,2023-06-30,13,1272,7,6.13,1,0.97,37.36,32.77,England,England,right,182,72,no,5.24,3.89,60,13.16,41.4,0.07,0.11,0.14,2.83,4.26,1.49,4,0.28,0,0,1.63,0.5,4,0.28,0.43,1,0.07,38,2.69,31.58,18.421,0.07,0.57,12.5,0.07,0,0.5,14.29,0.07,1.77,40,11.6,20.73,3.18,0.57,0.14,11.32,2.41,0.78,19.81,75.71,4.1,46.55,6.16,95.4,4.95,67.14,18.89,77.9,0.42,50,14.72,14.6,0.07,0.85,0,0,0,0,0.14,1.7,62.5,1.42,30,0,0,0.71,0.07,1.98,57.14,0,,0,,0,0,0,0,,,0,,,0.14,0.14,0,0,4,75
M. Fondop,Oldham Athletic,CF,28,0,2023-06-30,13,926,2,2.44,0,0.88,36.93,44.74,Cameroon,"Cameroon, England",left,190,75,no,3.98,3.3,52.94,16.81,50.29,0.29,0.42,0.1,1.94,2.8,2.14,2,0.19,0,0,2.04,0.19,2,0.19,0.24,0,0,18,1.75,27.78,11.111,0,0.78,25,0.68,28.57,0.1,0,0.1,1.56,75,11.66,34.17,2.53,1.07,0.29,10.98,3.69,1.36,19.24,71.21,3.6,45.95,5.44,82.14,5.73,71.19,17.79,73.22,0.68,71.43,16.5,14.28,0.09,0.58,0.1,0,0.39,50,0,1.94,30,1.17,8.33,0.29,33.33,0.19,0.19,0.78,62.5,0,,0,,0,0,0,0,,,0.1,,,0,0,0,0,0,0
C. Porter,Oldham Athletic,CF,38,0,,3,189,1,0.67,0,0,32.86,36.23,England,England,right,185,83,no,3.33,1.43,33.33,18.57,41.03,0,0,0,2.86,3.83,0.48,0,0,0,0,2.38,0.48,1,0.48,0.32,0,0,4,1.9,75,25,0,0,0,0,0,0,0,0,1.43,66.67,5.24,27.27,1.9,0.48,0,9.05,4.76,0.48,13.81,65.52,5.71,41.67,3.81,75,1.9,75,13.81,65.52,0,0,13.93,0,0,0,0,0,0,0,0,1.9,75,1.43,66.67,0,0,0.95,0,1.9,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
O. Palmer,Wrexham,CF,30,0,2025-06-30,13,1189,8,5.79,2,0.61,36.44,40.09,England,England,right,196,92,no,4.95,3.49,62.79,14.28,43.75,0.49,0.77,0.24,2.27,3.61,1.46,4,0.3,0,0,3.49,0.61,7,0.57,0.47,2,0.16,39,3.17,33.33,17.949,0.16,1.46,22.22,0.49,33.33,0.89,18.18,0.08,3.08,57.89,12.01,37.16,4.71,1.7,0.41,11.2,2.11,1.38,18.99,71.37,4.22,55.77,3.9,89.58,6.17,73.68,16.23,79.5,1.3,25,16.88,26.77,0.05,0.73,0.24,0,0.73,44.44,0.49,2.11,57.69,1.7,47.62,0.89,36.36,0.57,0.32,2.84,71.43,0,,0,,0,0,0,0,,,0.08,,,0,0,0,0,0,0
E. Lee,Wrexham,"AMF, CF, RCMF",27,0,2025-06-30,13,521,4,2.52,4,0.95,22.59,54.03,England,England,right,180,72,no,5.47,5.1,60.71,2.37,38.46,0.18,0.31,0.18,2.19,3.71,1.82,3,0.52,0,0,7.11,0.69,4,0.73,0.46,0,0,20,3.64,55,20,0.73,2.91,43.75,1.28,42.86,1.46,50,0.55,5.1,64.29,11.84,52.31,5.1,3.46,1.09,21.68,0.55,1.09,35.53,74.87,11.66,59.38,6.56,91.67,9.84,79.63,31.15,79.53,1.64,44.44,16.25,22.83,0.17,1.82,0,0,1.46,37.5,1.28,4.01,50,4.19,65.22,0.91,20,3.1,1.09,6.19,85.29,0,,0,,0,0,0,0,,,0.18,,,0.18,0,0,0,0,0
P. Mullin,Wrexham,CF,27,0,2024-06-30,13,1174,11,7.84,2,1.51,19.68,43.46,England,England,right,178,70,no,3.49,3.57,65.12,3.9,27.66,0.42,0.67,0.08,0.75,1.21,1,1,0.08,0,0,5.06,0.84,7,0.58,0.65,2,0.17,42,3.49,50,23.81,0.17,2.16,57.69,0.91,63.64,1.25,53.33,0.42,2.66,65.63,7.64,42.39,3.99,1.58,0.17,13.12,2.08,1,18.27,73.18,3.65,56.82,4.48,85.19,6.23,77.33,14.28,77.91,1.91,56.52,17.6,36.89,0.13,1.25,0,0.08,0.83,40,0.58,1.83,68.18,2.49,66.67,1,16.67,1.41,1.08,2.91,88.57,0,,0,,0,0,0,0,,,0.08,,,0,0,0,0.17,3,100
N. Kabamba,Barnet,CF,29,0,2023-06-30,13,1268,9,5.46,1,0.79,35.42,30.06,England,England,right,191,75,no,4.26,2.48,62.86,13.49,30.53,0.14,0.21,0.21,2.56,3.82,0.85,1,0.07,0,0,1.35,0.64,9,0.64,0.39,3,0.21,32,2.27,37.5,28.125,0.07,0.14,0,0.07,0,0.07,0,0,1.06,33.33,8.94,23.81,2.98,0.64,0.14,7.31,2.56,0.57,13.49,62.11,5.11,38.89,2.91,85.37,2.41,73.53,13.2,63.44,0.14,0,15.05,5.75,0.06,0.5,0.14,0,0.35,40,0.28,1.92,48.15,0.85,50,0.35,20,0.5,0,1.63,60.87,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. Flanagan,Barnet,"AMF, RW, CF",23,0,2023-06-30,4,129,0,0,0,0.01,21.63,38.71,England,"England, Republic of Ireland",right,179,72,no,4.88,7.67,36.36,2.09,66.67,0,0,0,2.09,3,2.79,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,2.09,0,1.4,0,0.7,0,0.7,1.4,50,9.07,38.46,2.09,2.09,1.4,17.44,0.7,1.4,21.63,74.19,4.19,50,4.19,100,7.67,63.64,18.14,84.62,2.09,33.33,14.21,20.39,0.01,0.7,0,0,0,0,0,1.4,50,1.4,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
S. Dalby,Wrexham,CF,22,0,2024-06-30,10,151,1,0.4,1,0.18,33.19,28.85,England,England,left,190,78,no,6.38,2.55,25,9.57,40,1.91,3.46,0,3.83,6.92,1.91,0,0,0,0,1.28,0.6,1,0.64,0.25,0,0,3,1.91,33.33,33.333,0.64,0,0,0,0,0,0,0,0.64,100,10.85,17.65,4.47,0.64,0.64,12.77,1.28,0.64,18.51,75.86,1.28,50,7.02,81.82,4.47,85.71,17.87,75,0.64,100,13.94,5.51,0.12,1.28,0,0,0.64,0,0.64,1.28,50,0.64,100,0.64,0,0.64,0,1.28,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Duku,York City,CF,29,0,2024-06-30,6,239,1,0.34,0,0,32.01,43.53,Netherlands,"Netherlands, Ghana",right,188,75,no,7.53,3.77,80,12.8,50,1.88,2.83,0,2.64,3.96,0.75,1,0.38,0,0,1.88,0.38,1,0.38,0.13,1,0.38,5,1.88,20,20,0,0.38,0,0,0,0.38,0,0.38,4.14,36.36,7.91,33.33,1.88,0.75,0.75,8.28,1.88,1.51,12.05,62.5,2.26,50,4.14,90.91,3.39,44.44,11.67,64.52,0,0,11.65,0,0,0,0,0,0,0,0,0.38,100,1.51,50,0,0,0.38,0.38,2.64,42.86,0,,0,,0,0,0,0,,,0,,,0.38,0.38,0,0.38,0,0
H. Hope,Oldham Athletic,"CF, LW",28,0,2023-06-30,7,661,3,2.09,0,0.67,20.42,40.67,England,"England, Barbados",right,179,76,no,4.77,4.49,69.7,3.68,14.81,0.27,0.38,0.14,1.36,1.92,0.95,0,0,0,0,3,0.41,3,0.41,0.28,0,0,14,1.91,50,21.429,0,1.36,20,0.54,25,0.82,16.67,0.14,3,59.09,8.71,39.06,4.49,1.36,0.27,12.93,1.77,1.23,19.61,79.86,3,77.27,7.22,94.34,3.95,68.97,18.11,84.96,0.14,0,14.13,5.73,0.09,0.54,0,0,0,0,0.27,0.95,85.71,1.09,37.5,0,0,0.68,0.27,0.54,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. McShane,Dorking Wanderers,"CF, LCMF, RCMF",31,0,,13,1106,10,5.49,0,0.89,13.75,40.24,England,England,unknown,0,0,no,5.29,4.8,62.71,1.87,21.74,0.41,0.74,0.08,1.87,3.38,0.81,2,0.16,0,0,2.03,0.81,10,0.81,0.45,0,0,30,2.44,46.67,33.333,0,0.81,60,0.24,33.33,0.57,71.43,0.24,0.98,41.67,4.39,25.93,3.66,0.33,0.24,15.71,0.81,0.57,26.77,77.2,6.92,56.47,6.1,90.67,9.36,82.61,23.19,81.75,2.77,44.12,18.56,30.83,0.07,0.9,0,0,0.08,0,0.16,3.42,59.52,1.46,50,0.24,33.33,0.73,0.33,3.09,65.79,0,,0,,0,0,0,0,,,0.16,,,0.08,0.08,0,1.38,0,0
H. Ottaway,Dorking Wanderers,CF,22,0,,6,493,0,1.59,1,0.92,36.33,36.68,England,England,,0,0,no,3.29,2.01,63.64,17.53,40.63,0.18,0.33,0.18,1.83,3.3,0.91,0,0,0,0,2.19,0,0,0,0.29,0,0,11,2.01,63.64,0,0.18,0.55,66.67,0,0,0.55,66.67,0.18,0.73,50,8.4,34.78,4.93,0.37,0,11.14,3.1,2.01,15.52,55.29,4.02,31.82,3.29,72.22,2.92,43.75,14.24,56.41,0.73,25,14.55,17.67,0.17,0.91,0.18,0,0.37,50,0.55,1.83,20,1.1,33.33,0,0,0.73,0.37,1.83,30,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Hulme,Altrincham,CF,31,0,2023-06-30,7,440,0,0.47,0,0.09,27.41,32.09,England,England,right,183,0,no,3.68,3.27,62.5,6.75,27.27,0.2,0.33,0,1.43,2.31,2.05,3,0.61,0,0,3.48,0,0,0,0.1,0,0,5,1.02,80,0,0,0.2,0,0,0,0.2,0,0.2,5.11,48,9.61,34.04,2.25,1.02,0.41,5.11,0.41,0.82,7.16,71.43,3.48,70.59,1.64,87.5,1.64,50,5.32,76.92,1.64,62.5,13.25,12.42,0.02,0.2,0,0,0.2,100,0,1.23,83.33,1.02,60,0.2,100,0.41,0,2.25,72.73,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
R. Seager,Dorking Wanderers,CF,26,0,2023-06-30,13,924,4,4.35,1,0.83,16.17,28.92,England,England,right,175,75,no,1.95,2.24,56.52,4.48,21.74,0.1,0.16,0,0.58,0.97,0.29,0,0,0,0,2.44,0.39,3,0.29,0.42,1,0.1,28,2.73,60.71,14.286,0.1,0.39,25,0.29,33.33,0.1,0,0,0.97,60,6.62,27.94,3.51,0.29,0.19,8.86,1.56,0.29,15.19,79.49,2.92,50,5.26,92.59,3.6,83.78,14.51,81.88,0.29,33.33,14.86,2.67,0.08,0.78,0,0,0.29,33.33,0.39,1.27,61.54,0.39,50,0.19,50,0.58,0.1,1.46,60,0,,0,,0,0,0,0,,,0,,,0,0,0,0,2,50
M. Dinanga,Altrincham,CF,24,0,2023-06-30,13,838,3,3.98,1,0.22,20.51,32.46,England,England,,180,78,no,1.93,1.61,53.33,7.2,29.85,0,0,0.21,1.07,1.53,0.86,0,0,0,0,1.72,0.32,3,0.32,0.43,0,0,21,2.26,42.86,14.286,0.11,0.21,100,0.11,100,0.11,100,0,0.86,50,6.98,30.77,3.54,0.43,0.32,9.99,2.68,0.86,13.1,79.51,1.18,63.64,6.66,83.87,2.68,84,12.67,79.66,0.21,50,12.3,5.81,0.02,0.32,0,0,0.11,100,0.11,0.64,50,0.21,50,0.11,100,0.21,0.21,0.75,42.86,0,,0,,0,0,0,0,,,0.11,,,0,0,0,0,0,0
S. Akinola,Wealdstone,CF,30,0,,1,26,1,0.43,0,0,,,Nigeria,"Nigeria, England",right,181,81,no,,,,,,,0,,,0,,0,,0,,,,1,,,1,,2,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.53,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
